rel_income,perc_025,perc_05,perc_25,perc_50,perc_75,perc_95,perc_975,perc_mean,perc_std,perc_upper_std,perc_lower_std
7.5,0.2,0.2,0.4,0.4,0.5,0.5,0.5,0.4,0.12182475052824794,0.6436495010564959,0.15635049894350414
8.0,0.2,0.2,0.4,0.5,0.5,0.5,0.6,0.4135593220338987,0.12345401710054552,0.6604673562349898,0.1666512878328077
7.7,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.3569767441860464,0.11910519095164537,0.5951871260893371,0.11876636228275567
7.6,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.3924999999999998,0.09109044052166164,0.574680881043323,0.21031911895667652
7.8,0.2,0.2,0.2,0.4,0.5,0.5,0.5799999999999997,0.37696629213483157,0.1484878667707937,0.673942025676419,0.07999055859324417
7.9,0.2,0.2,0.2,0.4,0.5,0.5,0.6,0.34301075268817177,0.14210976273898873,0.6272302781661492,0.05879122721019431
8.1,0.2,0.2,0.4,0.5,0.5,0.5,0.55,0.43910891089108955,0.14010780856112898,0.7193245280133476,0.1588932937688316
8.3,0.2,0.2,0.5,0.5,0.5,0.6,0.6,0.4638888888888893,0.1245278223002452,0.7129445334893797,0.2148332442883989
8.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.4700000000000002,0.11328959517140454,0.6965791903428092,0.24342080965719112
8.4,0.2,0.2,0.5,0.5,0.5,0.6,0.6699999999999988,0.4601351351351356,0.14850389269602293,0.7571429205271815,0.16312734974308973
9.0,0.2,0.2,0.25,0.6,0.6,0.6,0.6,0.46038647342995215,0.17838500255495723,0.8171564785398666,0.10361646832003768
8.6,0.2,0.2,0.25,0.5,0.5,0.6,0.7,0.4211267605633802,0.17477781238536338,0.7706823853341069,0.07157113579265345
8.5,0.2,0.2,0.5,0.5,0.5,0.5899999999999991,0.6,0.44638554216867515,0.13832251384789995,0.723030569864475,0.16974051447287525
8.7,0.2,0.2,0.2,0.5,0.5,0.6,0.6,0.39166666666666644,0.17591568344981595,0.7434980335662984,0.03983529976703454
8.8,0.2,0.2,0.2,0.5,0.5,0.6,0.6,0.3975409836065572,0.16793506421337295,0.7334111120333031,0.0616708551798113
8.9,0.2,0.2,0.2,0.5,0.6,0.6,0.6,0.41875000000000107,0.18183491628839932,0.7824198325767997,0.05508016742320243
